title,price,rating,reviews,availability
Dell Optiplex 7050 SFF Desktop PC Intel i7-7700 4-Cores 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor Support Windows 11 Pro Excellent Condition(Renewed),Price not available,4.5 out of 5 stars,792 ratings,In Stock
"Dell Optiplex 7040 Micro Form Factor Desktop, Intel Quad Core i5 6500T 2.5Ghz, 16GB DDR4, 256GB NVMe SSD, Wi-Fi, HDMI, Windows 10 Pro (Renewed)",Price not available,4.5 out of 5 stars,188 ratings,Only 1 left in stock - order soon.
Dell Optiplex 3060 Desktop Computer | Intel i5-8500 (3.2) | 32GB DDR4 RAM | 1TB SSD Solid State | Windows 11 Professional | Home or Office PC (Renewed),Price not available,4.5 out of 5 stars,389 ratings,In Stock
"Dell Optiplex 7040 SFF Intel Core i5-6500, 16GB Ram, 256GB SSD, DVD-RW, WiFi ï¼ŒWin 11 Pro (Renewed)",Price not available,4.5 out of 5 stars,895 ratings,Not Available
"Dell OptiPlex 7070 SFF Desktop Computer PC, Intel 8 Core i7-9700 3.0GHz up to 4.70GHz,32GB DDR4 Ram New 1TB NVMe M.2 SSD,AX210 Built-in WiFi 6E,Windows 11 Pro, Wireless Keyboard & Mouse (Renewed)",Price not available,4.5 out of 5 stars,316 ratings,In Stock
"Dell OptiPlex 7050 Desktop Computer PC, Intel Core i5 7500 3.40GHz 16GB DDR4 RAM, 512GB SSD, Built-in Wi-Fi, Bluetooth, Windows 11 Pro, 4K Support HD Graphics 630 (Renewed)",Price not available,4.4 out of 5 stars,65 ratings,Only 1 left in stock - order soon.
"Dell OptiPlex 5050 SFF PC Desktop Computer, 3.4GHz Intel i5-7500, 16GB RAM, 256GB SSD, Windows 11 Pro 64 bit (Renewed)",Price not available,4.5 out of 5 stars,145 ratings,
Dell Optiplex 7060 SFF Desktop Computer PC | Intel 8th Gen i7-8700 (6 Core) | 32GB DDR4 Ram 512GB NVMe M.2 SSD | Built-in WiFi & Bluetooth | Windows 11 Pro | Wireless Keyboard & Mouse(Renewed),Price not available,4.5 out of 5 stars,523 ratings,In Stock
"Dell Optiplex 7050 Micro Desktop PC, Intel Core i7-6700T, 32GB RAM, 1TB SSD, WiFi, Win 11 Pro (Renewed)",Price not available,4.5 out of 5 stars,99 ratings,
"Dell OptiPlex Desktop RGB Computer PC, Intel Core i7 Quad-Core Processor, 16GB RAM, 512GB SSD, 24 Inch HDMI Monitor, RGB Keyboard Mouse and Headset, WiFi, Windows 10 Pro (Renewed)",Price not available,4.5 out of 5 stars,"3,687 ratings",In Stock
"Dell OptiPlex 7020 Desktop Computer, 16GB Ram 256GB SSD, Intel Quad Core i7 4790 up to 4.0GHz, AC8260 Built-in WiFi 5, Dual Monitor Supported, DVD-RW HDMI Windows 10 Pro (Renewed)",Price not available,4.5 out of 5 stars,350 ratings,Only 8 left in stock - order soon.
"Dell Desktop Computer Windows 11 Pro OptiPlex 7040 i7 Refurbished Small Form Factor PC, i7-6700 3.40GHz,32GB Ram DDR4 New 1TB M.2 NVMe SSD,AX210 Built-in WiFi 6E, HDMI 3 Monitor Support (Renewed)",Price not available,4.5 out of 5 stars,50 ratings,
"Dell Optiplex 5060 Desktop Computer | Hexa Core Intel i7 (3.2) | 32GB DDR4 RAM | 1TB SSD Solid State | Windows 11 Professional | Home or Office PC (Renewed), Black",Price not available,4.5 out of 5 stars,229 ratings,In Stock
"Dell OptiPlex 7060 Micro Desktop Business PC, Intel Core i5-8500T 2.1GHz, 16GB, 512GB SSD, USB Type-C, Windows 11 (Renewed), Black",Price not available,4.5 out of 5 stars,83 ratings,In Stock
Dell OptiPlex 3060 Desktop Computers Windows 11 Pro Hexa Core i7-8700 Up to 4.60GHz32GB DDR4 1TB M.2 NVMe SSD1TB HDDAX210 Built-in WiFi 6E Small Form Factor PC(Renewed) Black (OptiPlex 3060 SFF),Price not available,4.5 out of 5 stars,458 ratings,In Stock
"Dell Optiplex 7020 7000 SFF Intel i5-14500 (14 Cores, Beats Intel i7-13700T), 16GB RAM, 512GB NVMe, RJ-45, DP Port, HDMI, Wired KB & Mouse, W11P, 3YR, Business Desktop",Price not available,4.4 out of 5 stars,49 ratings,In Stock
